clip_id,true_label,predicted_label
1736889229,0,1
2090216778,0,1
1973244385,1,1
1789944836,1,1
1842385688,0,1
2100199547,1,1
1857294514,1,1
1826541970,1,1
2044106109,1,1
1775799759,1,1
1795643856,1,1
2090599275,1,1
2091331021,1,1
1850338678,0,1
1856238986,0,1
2100200311,1,1
1949437887,0,1
1759873917,0,1
1791274024,1,1
2091329731,1,1
1850338614,1,1
1734134699,0,1
1736979973,1,1
1723219028,1,1
1830178215,0,1
2099059025,0,1
1767071330,0,0
1860160337,0,1
1819115694,1,1
1871240049,0,1
2070100099,0,1
1809599503,0,1
2070099888,0,1
1794258288,0,1
1794258652,1,1
1863756381,0,1
2080404782,0,1
1777959749,0,1
1826541369,1,1
1863757114,0,1
1911882644,1,1
1782419082,1,1
1770707895,1,0
1758799020,1,1
2097701626,0,1
1744061234,1,1
1856754214,1,1
1759886502,1,1
1833399781,1,1
1742406635,1,1
1838653468,1,1
1861753893,1,1
1774745827,1,1
2120717659,0,1
1866522099,1,1
1867212478,1,1
1762928318,1,1
2103781385,1,1
1791182765,0,1
1826540439,1,1
1973244935,1,1
1935501426,1,1
1809600507,1,1
1850338849,1,1
2088098572,0,1
1852520295,0,1
1742405505,0,1
1829418456,1,1
1956178385,0,1
2097331997,0,1
1801327053,1,1
1839724025,0,1
1773720876,0,1
2097702927,1,1
1789814335,1,1
2100003970,0,1
1831817623,0,1
1782417718,1,1
1867212996,0,1
1868624879,0,1
1813546499,1,1
1720901249,0,1
1867116860,1,1
1863570182,1,1
1791181465,1,1
1832835678,1,1
2105074619,1,1
1758799072,1,1
2105075717,1,1
1960315979,1,1
2010516648,0,0
1775801105,1,1
1809600123,0,1
1778568187,0,0
1832339518,1,1
1733519086,0,1
1833400022,0,1
1777959043,1,1
2019366880,1,1
1912514217,1,1
1861059473,1,1
1835172017,0,1
1785888528,0,0
1731019123,1,1
1873070189,0,1
1775800547,1,0
