clip_id,true_label,predicted_label
1838651775,2,0
2099060129,2,2
2088097601,2,2
1772936447,2,0
2091329731,2,2
1911882420,1,2
1835297463,2,2
1770815552,2,2
1827936371,2,2
1744222737,2,2
2088098365,2,2
1777959542,1,2
1789945825,2,2
2019659270,2,2
1869057420,0,2
2087628679,0,2
1783687424,2,2
1857294949,2,2
1760588317,0,2
1848628063,0,2
1873069279,2,2
2010515893,2,2
1729533916,0,2
2019659198,0,2
1832835412,2,2
1867115811,2,0
1842385994,2,2
1766249346,2,2
2092408969,0,2
2120718879,2,0
1795644057,1,2
1860160337,0,2
2051382845,2,2
1869057340,2,2
1826541970,2,2
1747541161,1,2
1956178505,2,2
1729533612,2,2
2103984451,2,2
2091331021,2,2
2051381667,1,2
1850122424,0,2
2099808985,0,2
1818188153,0,2
1736889229,0,2
1791273755,2,2
1772169615,2,2
1832834035,1,2
1731019123,2,2
1785889099,2,2
1982623693,1,2
1935501199,2,2
1736889923,2,2
1973244144,2,2
1987021783,2,0
1791273658,0,2
1813545546,2,2
1795643545,2,2
1778257094,2,2
1744061234,2,2
1795645177,0,2
1833401197,0,2
1840065171,1,2
2010713359,0,2
1867116680,1,2
1837226315,2,2
2103781211,1,2
1760588766,2,2
1762936485,2,2
1826541295,2,2
1777958679,2,2
1860160608,2,2
1856240760,1,2
1806299116,0,2
1777958284,2,0
1740058717,1,0
1831819154,2,2
1762928318,2,2
1853471363,0,2
1777958908,0,2
1806298657,0,2
1788470913,0,2
2090597986,1,2
1850338678,0,2
1782419082,2,2
1839724575,1,2
1758802167,0,2
1831817975,0,2
1839723837,1,2
1791371513,1,2
1973244120,0,2
1791182937,0,2
2100200407,2,2
1920544659,1,2
1762937610,2,0
1771813743,1,2
1773519761,0,2
2105075717,2,2
2044106109,2,2
1867116877,0,0
1832339643,1,2
1759886502,2,2
1725706396,0,0
1856752814,2,2
1736890358,2,2
1832339518,2,2
1835172102,2,0
1782418362,0,2
1833400360,1,2
2120717659,0,2
1780914753,0,2
1833399781,2,2
1785888935,2,2
