clip_id,true_label,predicted_label
1809599986,0,0
1868624972,1,1
1770707636,0,1
1794258109,1,1
1758800290,0,1
2135530415,1,0
1817219997,0,0
2100200261,1,1
2098736873,1,1
1744274432,1,1
2100200459,1,1
1795643608,1,1
1791371002,0,1
2080404184,1,1
2010515466,0,1
1740058283,0,0
1733519384,1,1
1852520403,1,0
1837225606,1,1
1832339419,0,1
1835513865,0,1
1832340836,1,1
1758801669,0,1
1758799839,0,1
1977434559,1,1
1759887296,1,1
2103984784,0,1
1789945928,1,1
1797029208,1,1
2089508654,0,1
1861753404,0,0
1729533452,1,1
1884562474,1,0
1911882465,1,0
1878456588,1,0
1922678054,1,0
2091574559,0,0
1758800287,1,0
1774746553,0,0
1725704588,0,0
2087627491,1,1
