clip_id,label,body_part_label,duel_label,pass_label,cross_accurate,cross_direction,cross_flank,pass_accurate,pass_direction,pass_distance,pass_progressive,pass_through,shot_on_target,shot_goal
1832339635,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2098736317,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
1791618325,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2100200136,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1832230047,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
2097509688,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
1868917474,1,-1,-1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1
1878456842,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1
1747540531,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1831818889,1,-1,-1,1,0,2,1,-1,-1,-1,-1,-1,-1,-1
1770382211,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1789812760,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2088098018,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2091573860,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1871980116,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1
1764770042,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1742280831,1,-1,-1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1
1865228198,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1850339034,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
2098736876,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
2100200244,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1759873934,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
1868624178,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
1867212996,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1
1790031317,1,-1,-1,0,-1,-1,-1,0,2,1,1,1,-1,-1
1826542038,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1827754233,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1852520657,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1788470062,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2100198746,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1850121817,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
